--- Day -------------------------------------

[  0] 0x01B  0x40C
[  1] 0x021  0x46C
[  2] 0x023  0x4AB
[  3] 0x022  0x441
[  4] 0x023  0x426
[  5] 0x024  0x4A1
[  6] 0x025  0x4A0
[  7] 0x025  0x45B
[  8] 0x026  0x456
[  9] 0x027  0x491
[ 10] 0x028  0x486
[ 11] 0x029  0x4D0
[ 12] 0x029  0x45F
[ 13] 0x02B  0x4D6
[ 14] 0x02C  0x4D5
[ 15] 0x02C  0x4B6
[ 16] 0x02E  0x50F
[ 17] 0x030  0x55E
[ 18] 0x02F  0x4B4
[ 19] 0x032  0x561
[ 20] 0x032  0x506
[ 21] 0x033  0x51F
[ 22] 0x035  0x588
[ 23] 0x036  0x4FD
[ 24] 0x037  0x525
[ 25] 0x038  0x50B
[ 26] 0x03A  0x52E
[ 27] 0x03C  0x574
[ 28] 0x03D  0x522
[ 29] 0x03F  0x56B
[ 30] 0x040  0x562
[ 31] 0x042  0x585
[ 32] 0x044  0x5C0
[ 33] 0x045  0x5C8
[ 34] 0x046  0x528
[ 35] 0x048  0x580
[ 36] 0x04A  0x5A8
[ 37] 0x04C  0x5B5
[ 38] 0x04E  0x5AD
[ 39] 0x050  0x5C3
[ 40] 0x052  0x5D2
[ 41] 0x054  0x5D0
[ 42] 0x056  0x5EC
[ 43] 0x059  0x5F5
[ 44] 0x05B  0x5F5
[ 45] 0x05D  0x600
[ 46] 0x060  0x615
[ 47] 0x062  0x62D
[ 48] 0x065  0x629
[ 49] 0x067  0x638
[ 50] 0x06A  0x641
[ 51] 0x06D  0x66E
[ 52] 0x06F  0x636
[ 53] 0x072  0x669
[ 54] 0x076  0x680
[ 55] 0x078  0x67B
[ 56] 0x07C  0x6A0
[ 57] 0x07E  0x69F
[ 58] 0x082  0x6C0
[ 59] 0x085  0x690
[ 60] 0x088  0x6B1
[ 61] 0x08C  0x6C6
[ 62] 0x090  0x6DA
[ 63] 0x094  0x6F9
[ 64] 0x097  0x6FE
[ 65] 0x09B  0x6CD
[ 66] 0x09E  0x6FC
[ 67] 0x0A3  0x747
[ 68] 0x0A7  0x729
[ 69] 0x0AB  0x74F
[ 70] 0x0AF  0x76D
[ 71] 0x0B4  0x783
[ 72] 0x0B8  0x75B
[ 73] 0x0BD  0x777
[ 74] 0x0C1  0x78F
[ 75] 0x0C6  0x785
[ 76] 0x0CA  0x74F
[ 77] 0x0CF  0x796
[ 78] 0x0D5  0x7E0
[ 79] 0x0D9  0x76D
[ 80] 0x0DF  0x714
[ 81] 0x0E5  0x88D
[ 82] 0x0EA  0x7DD
[ 83] 0x0F0  0x8B3
[ 84] 0x0F5  0x781
[ 85] 0x0FB  0x8DA
[ 86] 0x100  0x7B4
[ 87] 0x107  0x8BE
[ 88] 0x10C  0x7E1
[ 89] 0x113  0x8BC
[ 90] 0x119  0x90C
[ 91] 0x11F  0x8C3
[ 92] 0x126  0x85F
[ 93] 0x12C  0x8CD
[ 94] 0x133  0x8CE
[ 95] 0x13A  0x8AB
[ 96] 0x141  0x8E6
[ 97] 0x148  0x8C8
[ 98] 0x14F  0x928
[ 99] 0x156  0x912
[100] 0x15D  0x94A
[101] 0x165  0x94E
[102] 0x16C  0x948
[103] 0x174  0x98C
[104] 0x17C  0x9A0
[105] 0x184  0x9B8
[106] 0x18B  0x9DD
[107] 0x194  0xA0C
[108] 0x19C  0xA29
[109] 0x1A4  0xA5B
[110] 0x1AD  0xA64
[111] 0x1B5  0xA93
[112] 0x1BE  0xA8C
[113] 0x1C7  0xAFD
[114] 0x1D0  0xB04
[115] 0x1D9  0xB76
[116] 0x1E2  0xB98
[117] 0x1EC  0xC47
[118] 0x1F5  0xDB7
[119] 0x200  0xFFF
[120] 0x20A  0xFFF
[121] 0x213  0xFFF
[122] 0x21D  0xFFF
[123] 0x227  0xFFF
[124] 0x231  0xFFF
[125] 0x23C  0xFFF
[126] 0x246  0xFFF
[127] 0x250  0xFFF
[128] 0x25B  0xFFF
[129] 0x266  0xFFF
[130] 0x271  0xFFF
[131] 0x27C  0xFFF
[132] 0x287  0xFFF
[133] 0x293  0xFFF
[134] 0x29E  0xFFF
[135] 0x2A9  0xFFF
[136] 0x2B5  0xFFF
[137] 0x2C1  0xFFF
[138] 0x2CD  0xFFF
[139] 0x2D9  0xFFF
[140] 0x2E6  0xFFF
[141] 0x2F2  0xFFF
[142] 0x2FF  0xFFF
[143] 0x30C  0xFFF
[144] 0x318  0xFFF
[145] 0x325  0xFFF
[146] 0x332  0xFFF
[147] 0x340  0xFFF
[148] 0x34D  0xFFF
[149] 0x35B  0xFFF
[150] 0x369  0xFFF
[151] 0x377  0xFFF
[152] 0x385  0xFFF
[153] 0x393  0xFFF
[154] 0x3A1  0xFFF
[155] 0x3B0  0xFFF
[156] 0x3BE  0xFFF
[157] 0x3CD  0xFFF
[158] 0x3DC  0xFFF
[159] 0x3EA  0xFFF
[160] 0x3FA  0xFFF
[161] 0x40A  0xFFF
[162] 0x419  0xFFF
[163] 0x429  0xFFF
[164] 0x438  0xFFF
[165] 0x448  0xFFF
[166] 0x458  0xFFF
[167] 0x468  0xFFF
[168] 0x479  0xFFF
[169] 0x489  0xFFF
[170] 0x49A  0xFFF
[171] 0x4AA  0xFFF
[172] 0x4BB  0xFFF
[173] 0x4CC  0xFFF
[174] 0x4DD  0xFFF
[175] 0x4EE  0xFFF
[176] 0x500  0xFFF
[177] 0x512  0xFFF
[178] 0x524  0xFFF
[179] 0x536  0xFFF
[180] 0x548  0xFFF
[181] 0x55B  0xFFF
[182] 0x56D  0xFFF
[183] 0x580  0xFFF
[184] 0x593  0xFFF
[185] 0x5A6  0xFFF
[186] 0x5BA  0xFFF
[187] 0x5CD  0xFFF
[188] 0x5E1  0xFFF
[189] 0x5F5  0xFFF
[190] 0x60A  0xFFF
[191] 0x61E  0xFFF
[192] 0x633  0xFFF
[193] 0x647  0xFFF
[194] 0x65D  0xFFF
[195] 0x671  0xFFF
[196] 0x687  0xFFF
[197] 0x69C  0xFFF
[198] 0x6B2  0xFFF
[199] 0x6C8  0xFFF
[200] 0x6DD  0xFFF
[201] 0x6F4  0xFFF
[202] 0x70A  0xFFF
[203] 0x720  0xFFF
[204] 0x737  0xFFF
[205] 0x74D  0xFFF
[206] 0x764  0xFFF
[207] 0x77B  0xFFF
[208] 0x792  0xFFF
[209] 0x7A9  0xFFF
[210] 0x7C0  0xFFF
[211] 0x7D8  0xFFF
[212] 0x7F0  0xFFF
[213] 0x809  0xFFF
[214] 0x821  0xFFF
[215] 0x83A  0xFFF
[216] 0x853  0xFFF
[217] 0x86D  0xFFF
[218] 0x886  0xFFF
[219] 0x8A0  0xFFF
[220] 0x8B9  0xFFF
[221] 0x8D4  0xFFF
[222] 0x8EE  0xFFF
[223] 0x909  0xFFF
[224] 0x923  0xFFF
[225] 0x93E  0xFFF
[226] 0x959  0xFFF
[227] 0x975  0xFFF
[228] 0x990  0xFFF
[229] 0x9AB  0xFFF
[230] 0x9C7  0xFFF
[231] 0x9E3  0xFFF
[232] 0x9FF  0xFFF
[233] 0xA1B  0xFFF
[234] 0xA39  0xFFF
[235] 0xA55  0xFFF
[236] 0xA72  0xFFF
[237] 0xA8F  0xFFF
[238] 0xAAC  0xFFF
[239] 0xACB  0xFFF
[240] 0xAE8  0xFFF
[241] 0xB07  0xFFF
[242] 0xB25  0xFFF
[243] 0xB44  0xFFF
[244] 0xB63  0xFFF
[245] 0xB83  0xFFF
[246] 0xBA2  0xFFF
[247] 0xBC1  0xFFF
[248] 0xBE1  0xFFF
[249] 0xC02  0xFFF
[250] 0xC23  0xFFF
[251] 0xC45  0xFFF
[252] 0xC65  0xFFF
[253] 0xC87  0xFFF
[254] 0xCA8  0xFFF
[255] 0xCCA  0xFFF

--- NVG -------------------------------------

[  0] 0x01D  0x3F0
[  1] 0x023  0x4AC
[  2] 0x022  0x49D
[  3] 0x020  0x3DB
[  4] 0x021  0x437
[  5] 0x021  0x450
[  6] 0x021  0x43E
[  7] 0x022  0x47E
[  8] 0x022  0x48B
[  9] 0x023  0x4C8
[ 10] 0x022  0x490
[ 11] 0x022  0x478
[ 12] 0x023  0x4CA
[ 13] 0x023  0x49C
[ 14] 0x023  0x48E
[ 15] 0x023  0x488
[ 16] 0x024  0x4E9
